,vibration,temperature,pressure,vibration_lag1,vibration_lag2,vibration_roll1h_mean,vibration_roll4h_mean,vibration_roll8h_mean,vibration_roll4h_std,vibration_ema4h,temperature_lag1,temperature_lag2,temperature_roll1h_mean,temperature_roll4h_mean,temperature_roll8h_mean,temperature_roll4h_std,temperature_ema4h,pressure_lag1,pressure_lag2,pressure_roll1h_mean,pressure_roll4h_mean,pressure_roll8h_mean,pressure_roll4h_std,pressure_ema4h
temperature_lag1,0.423012178416378,0.3513171939593839,-0.3117257711151894,0.4541831063289372,0.41520960359390774,0.468342794945081,0.21702182620002908,0.10338454969626472,0.24671401593261422,0.33986001353237827,1.0,0.35222219252987924,0.6112485833629042,0.30050379938119015,0.1712210188154672,0.2578504291236316,0.4800731949883824,-0.3779435890132512,-0.33638686272433294,-0.45161094063311585,-0.22761496278104756,-0.10722818866035441,0.2087783810236596,-0.3447532500433122
temperature_lag2,0.38728368961548365,0.316791131608244,-0.2882345273074363,0.42282090297978864,0.4554294123857083,0.5042604325743809,0.24749135725674795,0.13004840837763437,0.26866735472590786,0.38319689029710363,0.35222219252987924,1.0,0.652414131003497,0.33054723422370985,0.1996298534103007,0.27984490318127586,0.5139586694228796,-0.31289201744748457,-0.37677933563731414,-0.4809489772451081,-0.2577336618949704,-0.13445161942906936,0.23253166005561196,-0.38017399738550967
temperature_roll1h_mean,0.5127855548275747,0.3913302516461434,-0.37048148717925417,0.5697384627995202,0.6048344646789406,0.777913409921421,0.4425249421723124,0.24742249901540628,0.44341002796848183,0.6450329415588092,0.6112485833629042,0.652414131003497,1.0,0.5663420368120784,0.35813333740003606,0.46620114781009026,0.8205927235300132,-0.42692598621593497,-0.46653274247780363,-0.7281465960365191,-0.4511124456738586,-0.2495236574559271,0.38159038117194044,-0.6283412969754845
temperature_roll4h_mean,0.2778248132377232,0.20411125973511524,-0.2001771987768609,0.3219181388789222,0.36016239989030424,0.5292860727353174,0.8634401819635156,0.5930385283901466,0.7544261539550013,0.8042994933752414,0.30050379938119015,0.33054723422370985,0.5663420368120784,1.0,0.7220759333714544,0.7546917045830972,0.9060053182853373,-0.23450973494093857,-0.26499756365301713,-0.4704322366052556,-0.8229762377765837,-0.5723960845134027,0.6647859978077825,-0.7483527930210707
temperature_roll8h_mean,0.13987430458925432,0.09872010325183368,-0.10814693754228362,0.17456075208060556,0.20597443759564724,0.32250626148250455,0.6441540280092435,0.8765834169579846,0.6388438585030647,0.6256711515416687,0.1712210188154672,0.1996298534103007,0.35813333740003606,0.7220759333714544,1.0,0.5459319739147264,0.6993643643721904,-0.13533066003836208,-0.15757618974366466,-0.2955075217491229,-0.6162129594098575,-0.8394288599108571,0.49258826614716006,-0.5901094506920388
temperature_roll4h_std,0.28046411538757937,0.22920951708353018,-0.2251055159032984,0.3208619889371422,0.3510751237600151,0.49263133309758017,0.7442504101334657,0.487099415803863,0.7361810426752257,0.7025629983082593,0.2578504291236316,0.27984490318127586,0.46620114781009026,0.7546917045830972,0.5459319739147264,1.0,0.7026139868513369,-0.2551814677515931,-0.27772059948658967,-0.47035036095015903,-0.7574434582624497,-0.5088313578070109,0.6879287444747417,-0.7029178404404206
temperature_ema4h,0.40502457488283006,0.2992649689877887,-0.29013639610305936,0.46524302637325193,0.513115996280452,0.7175247136968755,0.768834982802347,0.5604816715449018,0.700692366424042,0.8513319147713025,0.4800731949883824,0.5139586694228796,0.8205927235300132,0.9060053182853373,0.6993643643721904,0.7026139868513369,1.0,-0.3451759975794369,-0.38548367664855104,-0.651946626173738,-0.747539881464335,-0.5448246834577934,0.6000992600574147,-0.8058574991692735
pressure_lag1,-0.4248075713107085,-0.33521774786200054,0.31726026512348704,-0.44693128781793995,-0.40370082409423,-0.4446846206873818,-0.21033279827080126,-0.10030512446830794,-0.22861258356840652,-0.33076994250027153,-0.3779435890132512,-0.31289201744748457,-0.42692598621593497,-0.23450973494093857,-0.13533066003836208,-0.2551814677515931,-0.3451759975794369,1.0,0.3192812310505805,0.6186686898346063,0.30273664296223024,0.16028105976886742,-0.20939275212715827,0.4841308199193296
pressure_lag2,-0.37485364363435136,-0.3004265292716576,0.2897065120979878,-0.42499235462066415,-0.44610658393886043,-0.4885196888299165,-0.24446467231914598,-0.12492092544173819,-0.2525354448038783,-0.37442110235266096,-0.33638686272433294,-0.37677933563731414,-0.46653274247780363,-0.26499756365301713,-0.15757618974366466,-0.27772059948658967,-0.38548367664855104,0.3192812310505805,1.0,0.6441436078856975,0.33015604715426333,0.18358588196084766,-0.2310675034830983,0.5088224528608221
pressure_roll1h_mean,-0.5188381427886011,-0.3962257268445419,0.4063373238986684,-0.5730414462479205,-0.6042147028899431,-0.7676112643277747,-0.4443585977425774,-0.24316699480773254,-0.4319412374904671,-0.6403178658091027,-0.45161094063311585,-0.4809489772451081,-0.7281465960365191,-0.4704322366052556,-0.2955075217491229,-0.47035036095015903,-0.651946626173738,0.6186686898346063,0.6441436078856975,1.0,0.5786286075248326,0.33587109058263726,-0.395057698684379,0.8242549683932859
pressure_roll4h_mean,-0.2640536812090451,-0.19311908158592486,0.2066585510141963,-0.30725212653598744,-0.3437917968728721,-0.5114646819474484,-0.8387769318051367,-0.5710221888741984,-0.7530844993766944,-0.7807266163599068,-0.22761496278104756,-0.2577336618949704,-0.4511124456738586,-0.8229762377765837,-0.6162129594098575,-0.7574434582624497,-0.747539881464335,0.30273664296223024,0.33015604715426333,0.5786286075248326,1.0,0.7064099267032504,-0.7229238771087746,0.9133267967840529
pressure_roll8h_mean,-0.11827104750872129,-0.07894593614746244,0.09283519253028148,-0.15399776574613178,-0.18589257619553753,-0.29223863501058917,-0.6013577396670025,-0.8336321305273255,-0.5922166577816479,-0.5820819491407496,-0.10722818866035441,-0.13445161942906936,-0.2495236574559271,-0.5723960845134027,-0.8394288599108571,-0.5088313578070109,-0.5448246834577934,0.16028105976886742,0.18358588196084766,0.33587109058263726,0.7064099267032504,1.0,-0.5301495017559859,0.6821181434952506
pressure_roll4h_std,0.2219812679204335,0.18163719804912745,-0.1808811719319755,0.2525089119373194,0.2780973964565696,0.3984053594607446,0.6638465427438369,0.45753939372390623,0.6498701987531335,0.6036140183993931,0.2087783810236596,0.23253166005561196,0.38159038117194044,0.6647859978077825,0.49258826614716006,0.6879287444747417,0.6000992600574147,-0.20939275212715827,-0.2310675034830983,-0.395057698684379,-0.7229238771087746,-0.5301495017559859,1.0,-0.6422879261220894
pressure_ema4h,-0.39574664554440003,-0.2925194889718926,0.30936439434250274,-0.4541872382593857,-0.49827777532564,-0.6917874281558823,-0.7498351855394552,-0.5408722599420077,-0.687553630377412,-0.8256973861257259,-0.3447532500433122,-0.38017399738550967,-0.6283412969754845,-0.7483527930210707,-0.5901094506920388,-0.7029178404404206,-0.8058574991692735,0.4841308199193296,0.5088224528608221,0.8242549683932859,0.9133267967840529,0.6821181434952506,-0.6422879261220894,1.0
